Evaluating: 2 1 2 1 1 4 2 0 3 
MWFT(norm) MWFT LB
33.1519 835.65 25.2067
33.1519 835.65 25.2067
33.7632 851.057 25.2067
30.5019 768.85 25.2067
33.0201 839.346 25.4193
33.0201 839.346 25.4193
33.3075 846.653 25.4193
31.5982 803.202 25.4193
34.1507 859.333 25.163
34.1507 859.333 25.163
37.0772 932.973 25.163
33.2024 835.47 25.163
34.7548 835.75 24.0471
34.7548 835.75 24.0471
37.4734 901.126 24.0471
29.392 706.791 24.0471
33.7003 829.143 24.6034
33.7003 829.143 24.6034
41.1751 1013.05 24.6034
29.7494 731.936 24.6034
33.885 902.608 26.6374
33.885 902.608 26.6374
35.2653 939.373 26.6374
29.7353 792.071 26.6374
32.3938 855.646 26.4139
32.3938 855.646 26.4139
37.7592 997.368 26.4139
29.979 791.864 26.4139
33.3503 864.371 25.918
33.3503 864.371 25.918
33.9205 879.15 25.918
29.9168 775.382 25.918
34.2341 867.272 25.3335
34.2341 867.272 25.3335
32.0264 811.342 25.3335
30.2157 765.472 25.3335
34.7083 913.637 26.3233
34.7083 913.637 26.3233
38.982 1026.14 26.3233
31.0176 816.486 26.3233
35.4128 912.257 25.7606
35.4128 912.257 25.7606
37.2976 960.81 25.7606
32.1753 828.856 25.7606
33.9209 892.794 26.3199
33.9209 892.794 26.3199
32.9976 868.492 26.3199
30.8877 812.961 26.3199
34.7162 886.367 25.5318
34.7162 886.367 25.5318
37.1824 949.334 25.5318
31.9714 816.286 25.5318
32.7299 853.675 26.0824
32.7299 853.675 26.0824
36.041 940.036 26.0824
31.2091 814.007 26.0824
32.3835 847.281 26.164
32.3835 847.281 26.164
34.5106 902.935 26.164
28.9299 756.922 26.164
33.6173 849.672 25.2748
33.6173 849.672 25.2748
35.722 902.866 25.2748
30.4424 769.426 25.2748
32.3209 839.423 25.9716
32.3209 839.423 25.9716
32.2417 837.366 25.9716
29.8613 775.545 25.9716
34.3657 840.165 24.4478
34.3657 840.165 24.4478
33.2075 811.85 24.4478
31.1133 760.65 24.4478
35.937 919.837 25.5958
35.937 919.837 25.5958
36.9974 946.979 25.5958
30.7794 787.824 25.5958
34.4065 901.118 26.1904
34.4065 901.118 26.1904
40.4865 1060.36 26.1904
32.9488 862.94 26.1904
